ISO 3166-2コード,所在都道府県,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,所在判明市区町村数,注釈,年月日
JP-01,北海道,2084,520,1,83,NA,2014-08-14
JP-02,青森県,256,341,7,22,NA,2014-08-14
JP-03,岩手県,31729,355,5,29,※1,2014-08-14
JP-04,宮城県,77673,1122,5,35,※1,2014-08-14
JP-05,秋田県,584,444,0,20,NA,2014-08-14
JP-06,山形県,4277,585,51,30,NA,2014-08-14
JP-07,福島県,76149,2851,NA,46,※2 ※1,2014-08-14
JP-08,茨城県,3590,718,41,42,NA,2014-08-14
JP-09,栃木県,2224,675,99,25,NA,2014-08-14
JP-10,群馬県,1016,268,129,25,NA,2014-08-14
JP-11,埼玉県,4131,1473,35,57,※3 ※3 ※3,2014-08-14
JP-12,千葉県,555,3360,1,45,NA,2014-08-14
JP-13,東京都,5947,1719,30,55,NA,2014-08-14
JP-14,神奈川県,2154,0,0,24,※1,2014-08-14
JP-15,新潟県,4039,175,61,28,NA,2014-08-14
JP-16,富山県,189,58,3,10,NA,2014-08-14
JP-17,石川県,306,53,4,11,NA,2014-08-14
JP-18,福井県,208,40,0,12,NA,2014-08-14
JP-19,山梨県,605,106,1,21,NA,2014-08-14
JP-20,長野県,922,163,0,42,NA,2014-08-14
JP-21,岐阜県,205,108,0,25,NA,2014-08-14
JP-22,静岡県,701,270,5,30,NA,2014-08-14
JP-23,愛知県,1023,155,0,43,NA,2014-08-14
JP-24,三重県,368,93,0,15,NA,2014-08-14
JP-25,滋賀県,146,81,0,12,NA,2014-08-14
JP-26,京都府,528,358,0,16,NA,2014-08-14
JP-27,大阪府,693,185,0,30,NA,2014-08-14
JP-28,兵庫県,646,277,0,27,NA,2014-08-14
JP-29,奈良県,78,83,0,17,NA,2014-08-14
JP-30,和歌山県,63,32,0,12,NA,2014-08-14
JP-31,鳥取県,125,50,0,12,NA,2014-08-14
JP-32,島根県,70,23,3,11,NA,2014-08-14
JP-33,岡山県,769,368,0,18,NA,2014-08-14
JP-34,広島県,266,198,1,15,NA,2014-08-14
JP-35,山口県,88,41,0,10,NA,2014-08-14
JP-36,徳島県,36,30,0,12,NA,2014-08-14
JP-37,香川県,75,16,0,7,NA,2014-08-14
JP-38,愛媛県,44,139,2,11,NA,2014-08-14
JP-39,高知県,57,45,0,12,NA,2014-08-14
JP-40,福岡県,556,149,0,39,NA,2014-08-14
JP-41,佐賀県,152,22,0,9,NA,2014-08-14
JP-42,長崎県,100,35,0,10,NA,2014-08-14
JP-43,熊本県,275,86,0,18,NA,2014-08-14
JP-44,大分県,202,33,1,15,NA,2014-08-14
JP-45,宮崎県,176,56,0,11,NA,2014-08-14
JP-46,鹿児島県,146,65,1,23,NA,2014-08-14
JP-47,沖縄県,835,46,5,30,NA,2014-08-14
