ISO 3166-2コード,所在都道府県,避難所 (公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,5,939,2105,100,NA
JP-02,青森県,0,1,628,491,27,NA
JP-03,岩手県,0,8,878,1036,25,※1 ※2
JP-04,宮城県,225,43,53,NA,5,NA
JP-05,秋田県,0,104,778,751,20,NA
JP-06,山形県,12,182,707,12103,34,NA
JP-07,福島県,79,1070,NA,NA,18,NA
JP-08,茨城県,19,46,684,2196,39,NA
JP-09,栃木県,0,39,962,1709,25,NA
JP-10,群馬県,0,39,324,1692,28,NA
JP-11,埼玉県,726,6,0,4252,57,NA
JP-12,千葉県,0,NA,3701,NA,47,NA
JP-13,東京都,8,327,2293,5480,51,NA
JP-14,神奈川県,0,0,0,1543,2,※2
JP-15,新潟県,0,12,548,6238,30,※2
JP-16,富山県,0,0,111,355,12,NA
JP-17,石川県,0,1,124,402,12,NA
JP-18,福井県,0,19,96,386,16,NA
JP-19,山梨県,0,16,296,546,21,NA
JP-20,長野県,0,10,218,929,49,NA
JP-21,岐阜県,0,0,192,225,29,NA
JP-22,静岡県,0,156,372,923,33,NA
JP-23,愛知県,0,0,277,984,47,NA
JP-24,三重県,0,0,41,148,12,NA
JP-25,滋賀県,0,0,272,134,16,NA
JP-26,京都府,0,NA,243,790,18,NA
JP-27,大阪府,0,0,294,1107,33,NA
JP-28,兵庫県,0,0,420,645,28,NA
JP-29,奈良県,0,0,67,87,17,NA
JP-30,和歌山県,0,0,50,73,14,NA
JP-31,鳥取県,0,0,43,129,14,NA
JP-32,島根県,0,0,20,129,11,NA
JP-33,岡山県,0,0,161,342,18,NA
JP-34,広島県,0,0,173,327,15,NA
JP-35,山口県,0,0,100,88,13,NA
JP-36,徳島県,0,0,72,87,14,NA
JP-37,香川県,0,0,25,60,8,NA
JP-38,愛媛県,0,0,175,92,12,NA
JP-39,高知県,0,0,71,62,16,NA
JP-40,福岡県,0,0,221,493,37,NA
JP-41,佐賀県,0,0,70,240,11,NA
JP-42,長崎県,0,0,72,109,14,NA
JP-43,熊本県,0,0,99,164,26,NA
JP-44,大分県,0,0,113,256,16,NA
JP-45,宮崎県,0,0,96,147,12,NA
JP-46,鹿児島県,0,0,114,155,24,NA
JP-47,沖縄県,0,31,100,671,22,NA
