ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,924,2106,99,NA
JP-02,青森県,0,1,599,522,28,NA
JP-03,岩手県,0,0,885,41587,20,※1
JP-04,宮城県,31,16,191,121991,35,※1
JP-05,秋田県,0,45,727,808,20,NA
JP-06,山形県,12,130,663,12711,34,NA
JP-07,福島県,41,92,NA,94210,59,※1
JP-08,茨城県,16,31,634,2342,39,NA
JP-09,栃木県,0,9,948,1740,25,NA
JP-10,群馬県,0,0,309,1724,28,NA
JP-11,埼玉県,670,6,0,4245,56,NA
JP-12,千葉県,0,NA,3675,NA,46,NA
JP-13,東京都,7,301,2467,6094,55,NA
JP-14,神奈川県,0,0,0,2087,2,※1
JP-15,新潟県,0,6,472,6504,30,※1
JP-16,富山県,0,0,106,331,11,NA
JP-17,石川県,0,1,122,417,13,NA
JP-18,福井県,0,20,92,377,16,NA
JP-19,山梨県,0,0,295,540,21,NA
JP-20,長野県,0,7,215,945,48,NA
JP-21,岐阜県,0,0,191,232,29,NA
JP-22,静岡県,0,16,464,968,33,NA
JP-23,愛知県,0,0,250,1002,46,NA
JP-24,三重県,0,0,41,148,12,NA
JP-25,滋賀県,0,0,267,136,16,NA
JP-26,京都府,0,NA,238,811,18,NA
JP-27,大阪府,0,0,294,1117,33,NA
JP-28,兵庫県,0,0,413,659,28,NA
JP-29,奈良県,0,0,67,89,17,NA
JP-30,和歌山県,0,0,49,70,14,NA
JP-31,鳥取県,0,0,41,131,15,NA
JP-32,島根県,0,0,20,125,11,NA
JP-33,岡山県,0,0,151,344,18,NA
JP-34,広島県,0,0,171,325,13,NA
JP-35,山口県,0,0,100,99,13,NA
JP-36,徳島県,0,0,72,89,14,NA
JP-37,香川県,0,0,27,63,8,NA
JP-38,愛媛県,0,0,174,92,12,NA
JP-39,高知県,0,0,80,54,15,NA
JP-40,福岡県,0,0,220,491,37,NA
JP-41,佐賀県,0,0,68,241,11,NA
JP-42,長崎県,0,0,79,108,14,NA
JP-43,熊本県,0,0,100,164,26,NA
JP-44,大分県,0,0,111,261,16,NA
JP-45,宮崎県,0,0,97,148,13,NA
JP-46,鹿児島県,0,0,103,165,26,NA
JP-47,沖縄県,0,29,92,699,22,NA
