ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,935,2082,100,NA
JP-02,青森県,0,0,602,514,27,NA
JP-03,岩手県,0,0,876,42999,27,※1
JP-04,宮城県,0,0,137,124871,35,※1
JP-05,秋田県,0,0,676,895,20,NA
JP-06,山形県,0,67,655,13001,34,NA
JP-07,福島県,0,2,NA,96833,47,※1
JP-08,茨城県,0,0,649,2899,41,NA
JP-09,栃木県,0,0,973,1803,25,NA
JP-10,群馬県,0,0,317,1731,27,NA
JP-11,埼玉県,607,1,0,4217,56,NA
JP-12,千葉県,0,NA,3643,NA,46,NA
JP-13,東京都,6,0,2571,6529,56,NA
JP-14,神奈川県,0,0,0,2852,2,※1
JP-15,新潟県,0,1,441,6639,30,※1
JP-16,富山県,0,0,94,304,11,NA
JP-17,石川県,0,0,140,379,13,NA
JP-18,福井県,0,18,85,372,16,NA
JP-19,山梨県,0,0,260,573,21,NA
JP-20,長野県,0,0,198,976,48,NA
JP-21,岐阜県,0,0,184,243,29,NA
JP-22,静岡県,0,10,446,981,32,NA
JP-23,愛知県,0,0,250,1012,45,NA
JP-24,三重県,0,0,81,344,13,NA
JP-25,滋賀県,0,0,261,130,16,NA
JP-26,京都府,0,NA,246,804,18,NA
JP-27,大阪府,0,0,294,1171,34,NA
JP-28,兵庫県,0,0,401,655,27,NA
JP-29,奈良県,0,0,64,87,16,NA
JP-30,和歌山県,0,0,46,83,14,NA
JP-31,鳥取県,0,0,45,136,15,NA
JP-32,島根県,0,0,21,124,12,NA
JP-33,岡山県,0,2,199,418,18,NA
JP-34,広島県,0,0,179,342,14,NA
JP-35,山口県,0,0,80,116,13,NA
JP-36,徳島県,0,0,72,93,14,NA
JP-37,香川県,0,0,34,63,8,NA
JP-38,愛媛県,0,0,181,85,12,NA
JP-39,高知県,0,0,82,59,16,NA
JP-40,福岡県,0,0,195,511,37,NA
JP-41,佐賀県,0,0,72,247,12,NA
JP-42,長崎県,0,0,64,115,14,NA
JP-43,熊本県,0,0,117,171,23,NA
JP-44,大分県,0,0,89,268,15,NA
JP-45,宮崎県,0,0,99,153,13,NA
JP-46,鹿児島県,0,0,104,165,26,NA
JP-47,沖縄県,0,48,98,756,23,NA
