ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,573,2422,93,NA
JP-02,青森県,0,0,529,718,25,NA
JP-03,岩手県,0,0,666,41303,27,※1
JP-04,宮城県,0,0,1028,113759,34,※1
JP-05,秋田県,0,0,486,841,20,NA
JP-06,山形県,0,0,605,10801,34,NA
JP-07,福島県,0,0,NA,99229,48,※1
JP-08,茨城県,0,0,596,5248,42,NA
JP-09,栃木県,0,0,857,2091,25,NA
JP-10,群馬県,0,0,238,1615,29,NA
JP-11,埼玉県,186,0,0,4075,56,NA
JP-12,千葉県,0,NA,3894,NA,46,NA
JP-13,東京都,0,0,2221,7001,55,NA
JP-14,神奈川県,0,0,0,2904,25,※1
JP-15,新潟県,0,0,361,6005,29,※1
JP-16,富山県,0,0,76,259,10,NA
JP-17,石川県,0,0,108,372,11,NA
JP-18,福井県,0,0,67,256,16,NA
JP-19,山梨県,0,0,242,597,21,NA
JP-20,長野県,0,0,132,1264,45,NA
JP-21,岐阜県,0,0,140,207,28,NA
JP-22,静岡県,0,0,367,946,32,NA
JP-23,愛知県,0,0,219,1024,46,NA
JP-24,三重県,0,0,103,398,18,NA
JP-25,滋賀県,0,0,237,125,15,NA
JP-26,京都府,0,NA,263,747,18,NA
JP-27,大阪府,0,0,297,915,31,NA
JP-28,兵庫県,0,0,341,713,28,NA
JP-29,奈良県,0,0,87,104,18,NA
JP-30,和歌山県,0,0,38,87,14,NA
JP-31,鳥取県,0,0,57,148,14,NA
JP-32,島根県,0,0,22,114,12,NA
JP-33,岡山県,0,0,244,594,19,NA
JP-34,広島県,0,0,198,370,16,NA
JP-35,山口県,0,0,51,119,13,NA
JP-36,徳島県,0,0,37,54,12,NA
JP-37,香川県,0,0,14,90,9,NA
JP-38,愛媛県,0,0,145,53,12,NA
JP-39,高知県,0,0,75,73,15,NA
JP-40,福岡県,0,0,169,599,37,NA
JP-41,佐賀県,0,0,37,242,10,NA
JP-42,長崎県,0,0,46,105,12,NA
JP-43,熊本県,0,0,112,219,23,NA
JP-44,大分県,0,0,79,280,16,NA
JP-45,宮崎県,0,0,79,173,10,NA
JP-46,鹿児島県,0,0,97,169,27,NA
JP-47,沖縄県,0,0,69,957,28,NA
