ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,565,2416,94,NA
JP-02,青森県,0,0,516,682,24,NA
JP-03,岩手県,0,0,641,40985,27,※1
JP-04,宮城県,0,0,1035,110973,35,※1
JP-05,秋田県,0,0,497,810,20,NA
JP-06,山形県,0,0,601,10092,34,NA
JP-07,福島県,0,0,NA,98235,48,※1
JP-08,茨城県,0,0,596,5293,42,NA
JP-09,栃木県,0,0,863,2041,25,NA
JP-10,群馬県,0,0,210,1618,28,NA
JP-11,埼玉県,159,0,0,4004,56,NA
JP-12,千葉県,0,NA,3936,NA,46,NA
JP-13,東京都,0,0,2198,6979,55,NA
JP-14,神奈川県,0,0,0,2791,25,※1
JP-15,新潟県,0,0,353,5846,29,※1
JP-16,富山県,0,0,73,258,10,NA
JP-17,石川県,0,0,110,361,11,NA
JP-18,福井県,0,0,69,263,16,NA
JP-19,山梨県,0,0,236,593,21,NA
JP-20,長野県,0,0,143,1184,45,NA
JP-21,岐阜県,0,0,138,200,28,NA
JP-22,静岡県,0,0,343,899,32,NA
JP-23,愛知県,0,0,213,1033,46,NA
JP-24,三重県,0,0,101,411,17,NA
JP-25,滋賀県,0,0,233,124,15,NA
JP-26,京都府,0,0,269,741,17,NA
JP-27,大阪府,0,0,297,884,31,NA
JP-28,兵庫県,0,0,318,714,28,NA
JP-29,奈良県,0,0,86,97,18,NA
JP-30,和歌山県,0,0,38,82,14,NA
JP-31,鳥取県,0,0,57,148,14,NA
JP-32,島根県,0,0,22,110,13,NA
JP-33,岡山県,0,0,261,620,19,NA
JP-34,広島県,0,0,208,372,17,NA
JP-35,山口県,0,0,51,118,13,NA
JP-36,徳島県,0,0,37,54,12,NA
JP-37,香川県,0,0,13,89,8,NA
JP-38,愛媛県,0,0,146,49,12,NA
JP-39,高知県,0,0,75,73,15,NA
JP-40,福岡県,0,0,167,594,37,NA
JP-41,佐賀県,0,0,41,237,10,NA
JP-42,長崎県,0,0,46,105,12,NA
JP-43,熊本県,0,0,100,283,23,NA
JP-44,大分県,0,0,71,277,16,NA
JP-45,宮崎県,0,0,86,174,10,NA
JP-46,鹿児島県,0,0,93,177,27,NA
JP-47,沖縄県,0,0,74,959,29,NA
