ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,691,2366,102,NA
JP-02,青森県,0,0,609,801,27,NA
JP-03,岩手県,0,0,791,42562,28,※1
JP-04,宮城県,0,0,1021,126693,34,※1
JP-05,秋田県,0,0,655,904,20,NA
JP-06,山形県,0,67,671,12998,34,NA
JP-07,福島県,0,0,NA,97433,47,※1
JP-08,茨城県,0,0,622,5054,41,NA
JP-09,栃木県,0,0,925,2272,25,NA
JP-10,群馬県,0,0,293,1781,27,NA
JP-11,埼玉県,572,0,0,4208,57,NA
JP-12,千葉県,0,NA,3631,NA,47,NA
JP-13,東京都,6,0,2535,6685,56,NA
JP-14,神奈川県,0,0,0,2875,2,※1
JP-15,新潟県,0,0,421,6674,30,※1
JP-16,富山県,0,0,96,301,11,NA
JP-17,石川県,0,0,138,381,14,NA
JP-18,福井県,0,0,79,378,16,NA
JP-19,山梨県,0,0,262,578,21,NA
JP-20,長野県,0,0,191,1192,49,NA
JP-21,岐阜県,0,0,191,231,29,NA
JP-22,静岡県,0,10,420,974,32,NA
JP-23,愛知県,0,0,251,1014,46,NA
JP-24,三重県,0,0,85,349,13,NA
JP-25,滋賀県,0,0,261,130,16,NA
JP-26,京都府,0,NA,252,807,18,NA
JP-27,大阪府,0,0,298,1148,30,NA
JP-28,兵庫県,0,0,400,675,27,NA
JP-29,奈良県,0,0,68,86,18,NA
JP-30,和歌山県,0,0,43,88,13,NA
JP-31,鳥取県,0,0,51,139,14,NA
JP-32,島根県,0,0,22,120,12,NA
JP-33,岡山県,0,2,211,445,18,NA
JP-34,広島県,0,0,147,382,14,NA
JP-35,山口県,0,0,80,118,13,NA
JP-36,徳島県,0,0,72,97,14,NA
JP-37,香川県,0,0,31,67,8,NA
JP-38,愛媛県,0,0,147,79,13,NA
JP-39,高知県,0,0,82,58,16,NA
JP-40,福岡県,0,0,188,526,40,NA
JP-41,佐賀県,0,0,72,248,11,NA
JP-42,長崎県,0,0,62,116,14,NA
JP-43,熊本県,0,0,116,195,24,NA
JP-44,大分県,0,0,83,271,15,NA
JP-45,宮崎県,0,0,99,157,13,NA
JP-46,鹿児島県,0,0,104,168,26,NA
JP-47,沖縄県,0,28,102,857,26,NA
