ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,630,2373,100,NA
JP-02,青森県,0,0,615,795,26,NA
JP-03,岩手県,0,0,788,41928,28,※1
JP-04,宮城県,0,0,915,126910,34,※1
JP-05,秋田県,0,0,592,881,20,NA
JP-06,山形県,0,5,681,12852,34,NA
JP-07,福島県,0,0,NA,98595,47,※1
JP-08,茨城県,0,0,624,5453,42,NA
JP-09,栃木県,0,0,875,2282,25,NA
JP-10,群馬県,0,0,281,1693,27,NA
JP-11,埼玉県,330,0,0,4448,57,NA
JP-12,千葉県,0,NA,3608,NA,47,NA
JP-13,東京都,0,0,2473,7032,56,NA
JP-14,神奈川県,0,0,0,2888,2,※1
JP-15,新潟県,0,0,388,6602,30,※1
JP-16,富山県,0,0,93,284,11,NA
JP-17,石川県,0,0,114,385,12,NA
JP-18,福井県,0,0,76,367,16,NA
JP-19,山梨県,0,1,256,580,21,NA
JP-20,長野県,0,0,158,1205,48,NA
JP-21,岐阜県,0,0,197,215,28,NA
JP-22,静岡県,0,0,416,983,32,NA
JP-23,愛知県,0,0,245,1015,47,NA
JP-24,三重県,0,0,83,330,13,NA
JP-25,滋賀県,0,0,253,132,16,NA
JP-26,京都府,0,NA,246,810,18,NA
JP-27,大阪府,0,0,298,1037,31,NA
JP-28,兵庫県,0,0,379,654,28,NA
JP-29,奈良県,0,0,68,98,18,NA
JP-30,和歌山県,0,0,43,87,13,NA
JP-31,鳥取県,0,0,52,142,14,NA
JP-32,島根県,0,0,23,119,12,NA
JP-33,岡山県,0,9,230,532,19,NA
JP-34,広島県,0,0,163,376,15,NA
JP-35,山口県,0,0,84,122,13,NA
JP-36,徳島県,0,0,37,63,12,NA
JP-37,香川県,0,0,36,75,9,NA
JP-38,愛媛県,0,0,152,80,13,NA
JP-39,高知県,0,0,80,62,15,NA
JP-40,福岡県,0,0,178,566,39,NA
JP-41,佐賀県,0,0,54,250,10,NA
JP-42,長崎県,0,0,63,111,14,NA
JP-43,熊本県,0,0,116,196,24,NA
JP-44,大分県,0,0,82,268,15,NA
JP-45,宮崎県,0,0,102,158,12,NA
JP-46,鹿児島県,0,0,105,176,27,NA
JP-47,沖縄県,0,38,108,824,27,NA
