ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,606,2451,98,NA
JP-02,青森県,0,0,561,763,25,NA
JP-03,岩手県,0,0,729,42367,27,※1
JP-04,宮城県,0,0,923,127274,34,※1
JP-05,秋田県,0,0,534,874,20,NA
JP-06,山形県,0,0,677,12359,34,NA
JP-07,福島県,0,0,NA,101320,47,※1
JP-08,茨城県,0,0,620,5565,42,NA
JP-09,栃木県,0,0,864,2112,25,NA
JP-10,群馬県,0,0,252,1666,27,NA
JP-11,埼玉県,234,0,0,4261,57,NA
JP-12,千葉県,0,NA,3832,NA,47,NA
JP-13,東京都,0,0,2409,7044,55,NA
JP-14,神奈川県,0,0,0,2818,1,※1
JP-15,新潟県,0,0,421,6363,30,※1
JP-16,富山県,0,0,75,273,10,NA
JP-17,石川県,0,0,107,387,11,NA
JP-18,福井県,0,0,70,335,16,NA
JP-19,山梨県,0,1,263,595,21,NA
JP-20,長野県,0,0,142,1267,47,NA
JP-21,岐阜県,0,0,193,205,29,NA
JP-22,静岡県,0,0,390,968,32,NA
JP-23,愛知県,0,0,235,1018,47,NA
JP-24,三重県,0,0,84,326,15,NA
JP-25,滋賀県,0,0,249,124,16,NA
JP-26,京都府,0,NA,261,791,18,NA
JP-27,大阪府,0,0,298,1211,31,NA
JP-28,兵庫県,0,0,370,681,27,NA
JP-29,奈良県,0,0,65,101,18,NA
JP-30,和歌山県,0,0,39,84,14,NA
JP-31,鳥取県,0,0,57,145,14,NA
JP-32,島根県,0,0,22,120,12,NA
JP-33,岡山県,0,0,249,574,19,NA
JP-34,広島県,0,0,191,382,17,NA
JP-35,山口県,0,0,73,120,13,NA
JP-36,徳島県,0,0,37,58,12,NA
JP-37,香川県,0,0,23,88,9,NA
JP-38,愛媛県,0,0,144,60,13,NA
JP-39,高知県,0,0,81,63,14,NA
JP-40,福岡県,0,0,171,584,37,NA
JP-41,佐賀県,0,0,41,250,11,NA
JP-42,長崎県,0,0,58,101,13,NA
JP-43,熊本県,0,0,115,198,23,NA
JP-44,大分県,0,0,82,268,15,NA
JP-45,宮崎県,0,0,94,172,11,NA
JP-46,鹿児島県,0,0,99,172,26,NA
JP-47,沖縄県,0,5,89,894,26,NA
