ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,598,2398,97,NA
JP-02,青森県,0,0,546,751,25,NA
JP-03,岩手県,0,0,714,42060,27,※1
JP-04,宮城県,0,0,924,126704,34,※1
JP-05,秋田県,0,0,494,879,20,NA
JP-06,山形県,0,0,678,12035,34,NA
JP-07,福島県,0,0,NA,100096,47,※1
JP-08,茨城県,0,0,614,5593,42,NA
JP-09,栃木県,0,0,865,2116,25,NA
JP-10,群馬県,0,0,236,1693,28,NA
JP-11,埼玉県,225,0,0,4240,57,NA
JP-12,千葉県,0,NA,3860,NA,47,NA
JP-13,東京都,0,0,2393,7054,55,NA
JP-14,神奈川県,0,0,0,3000,1,※1
JP-15,新潟県,0,0,409,6303,30,※1
JP-16,富山県,0,0,75,268,10,NA
JP-17,石川県,0,0,105,384,11,NA
JP-18,福井県,0,0,70,332,16,NA
JP-19,山梨県,0,1,259,595,21,NA
JP-20,長野県,0,0,145,1264,46,NA
JP-21,岐阜県,0,0,198,208,29,NA
JP-22,静岡県,0,0,389,960,32,NA
JP-23,愛知県,0,0,230,1039,47,NA
JP-24,三重県,0,0,85,327,15,NA
JP-25,滋賀県,0,0,250,121,16,NA
JP-26,京都府,0,NA,249,776,18,NA
JP-27,大阪府,0,0,298,977,31,NA
JP-28,兵庫県,0,0,367,699,27,NA
JP-29,奈良県,0,0,65,101,18,NA
JP-30,和歌山県,0,0,39,87,14,NA
JP-31,鳥取県,0,0,57,144,14,NA
JP-32,島根県,0,0,22,120,12,NA
JP-33,岡山県,0,0,250,576,19,NA
JP-34,広島県,0,0,131,266,14,NA
JP-35,山口県,0,0,74,120,13,NA
JP-36,徳島県,0,0,37,51,12,NA
JP-37,香川県,0,0,21,90,10,NA
JP-38,愛媛県,0,0,151,60,13,NA
JP-39,高知県,0,0,79,66,15,NA
JP-40,福岡県,0,0,169,595,37,NA
JP-41,佐賀県,0,0,41,249,11,NA
JP-42,長崎県,0,0,55,101,12,NA
JP-43,熊本県,0,0,115,198,23,NA
JP-44,大分県,0,0,84,264,16,NA
JP-45,宮崎県,0,0,91,165,11,NA
JP-46,鹿児島県,0,0,106,172,26,NA
JP-47,沖縄県,0,1,111,898,26,NA
