ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,580,2431,94,NA
JP-02,青森県,0,0,532,736,25,NA
JP-03,岩手県,0,0,664,41599,27,※1
JP-04,宮城県,0,0,930,114926,35,※1
JP-05,秋田県,0,0,487,859,20,NA
JP-06,山形県,0,0,613,11138,34,NA
JP-07,福島県,0,0,NA,99521,48,※1
JP-08,茨城県,0,0,605,5635,42,NA
JP-09,栃木県,0,0,857,2096,25,NA
JP-10,群馬県,0,0,239,1646,28,NA
JP-11,埼玉県,205,0,0,4124,56,NA
JP-12,千葉県,0,NA,3871,NA,46,NA
JP-13,東京都,0,0,2372,7025,55,NA
JP-14,神奈川県,0,0,0,2942,25,※1
JP-15,新潟県,0,0,370,6082,29,※1
JP-16,富山県,0,0,76,259,10,NA
JP-17,石川県,0,1,106,383,11,NA
JP-18,福井県,0,0,70,255,16,NA
JP-19,山梨県,0,0,244,578,21,NA
JP-20,長野県,0,0,132,1255,45,NA
JP-21,岐阜県,0,0,145,234,29,NA
JP-22,静岡県,0,0,369,945,32,NA
JP-23,愛知県,0,0,221,1034,46,NA
JP-24,三重県,0,0,100,401,18,NA
JP-25,滋賀県,0,2,240,124,16,NA
JP-26,京都府,0,NA,262,764,18,NA
JP-27,大阪府,0,0,297,941,31,NA
JP-28,兵庫県,0,0,365,698,27,NA
JP-29,奈良県,0,0,87,104,18,NA
JP-30,和歌山県,0,0,41,87,14,NA
JP-31,鳥取県,0,0,57,138,14,NA
JP-32,島根県,0,0,22,120,12,NA
JP-33,岡山県,0,0,244,576,19,NA
JP-34,広島県,0,0,196,374,16,NA
JP-35,山口県,0,0,59,121,13,NA
JP-36,徳島県,0,0,37,51,12,NA
JP-37,香川県,0,0,14,90,9,NA
JP-38,愛媛県,0,0,141,60,12,NA
JP-39,高知県,0,0,79,67,15,NA
JP-40,福岡県,0,0,170,588,37,NA
JP-41,佐賀県,0,0,39,245,10,NA
JP-42,長崎県,0,0,50,105,11,NA
JP-43,熊本県,0,0,112,220,23,NA
JP-44,大分県,0,0,65,287,16,NA
JP-45,宮崎県,0,0,85,173,11,NA
JP-46,鹿児島県,0,0,97,172,27,NA
JP-47,沖縄県,0,0,74,944,26,NA
