ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,559,2407,91,NA
JP-02,青森県,0,0,505,659,24,NA
JP-03,岩手県,0,0,338,40386,27,※1
JP-04,宮城県,0,0,1042,109018,35,※1
JP-05,秋田県,0,0,486,794,20,NA
JP-06,山形県,0,0,583,9604,34,NA
JP-07,福島県,0,0,NA,97271,48,※1
JP-08,茨城県,0,0,605,4801,41,NA
JP-09,栃木県,0,0,476,2632,25,NA
JP-10,群馬県,0,0,214,1604,28,NA
JP-11,埼玉県,146,0,0,3942,56,NA
JP-12,千葉県,0,NA,3951,NA,46,NA
JP-13,東京都,0,0,2214,6881,55,NA
JP-14,神奈川県,0,0,0,2772,25,※1
JP-15,新潟県,0,0,336,5670,30,※1
JP-16,富山県,0,0,73,252,10,NA
JP-17,石川県,0,0,112,357,11,NA
JP-18,福井県,0,0,69,259,16,NA
JP-19,山梨県,0,0,167,662,21,NA
JP-20,長野県,0,0,142,1147,45,NA
JP-21,岐阜県,0,0,133,206,28,NA
JP-22,静岡県,0,0,345,882,32,NA
JP-23,愛知県,0,0,211,1034,46,NA
JP-24,三重県,0,0,103,408,17,NA
JP-25,滋賀県,0,0,227,124,15,NA
JP-26,京都府,0,0,268,744,17,NA
JP-27,大阪府,0,0,297,882,31,NA
JP-28,兵庫県,0,0,314,724,28,NA
JP-29,奈良県,0,0,90,97,18,NA
JP-30,和歌山県,0,0,39,81,13,NA
JP-31,鳥取県,0,0,53,150,13,NA
JP-32,島根県,0,0,23,110,13,NA
JP-33,岡山県,0,0,271,625,19,NA
JP-34,広島県,0,0,208,371,16,NA
JP-35,山口県,0,0,51,114,13,NA
JP-36,徳島県,0,0,37,49,12,NA
JP-37,香川県,0,0,13,90,8,NA
JP-38,愛媛県,0,0,146,56,12,NA
JP-39,高知県,0,0,72,69,15,NA
JP-40,福岡県,0,0,164,591,37,NA
JP-41,佐賀県,0,0,41,232,10,NA
JP-42,長崎県,0,0,53,99,12,NA
JP-43,熊本県,0,0,103,282,23,NA
JP-44,大分県,0,0,71,277,16,NA
JP-45,宮崎県,0,0,85,176,10,NA
JP-46,鹿児島県,0,0,100,170,27,NA
JP-47,沖縄県,0,0,76,980,29,NA
