ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,553,2386,91,NA
JP-02,青森県,0,0,514,645,24,NA
JP-03,岩手県,0,0,338,40270,27,※1
JP-04,宮城県,0,0,1038,108599,35,※1
JP-05,秋田県,0,0,497,785,20,NA
JP-06,山形県,0,0,579,9505,34,NA
JP-07,福島県,0,0,NA,97022,48,※1
JP-08,茨城県,0,0,604,4771,41,NA
JP-09,栃木県,0,0,492,2617,25,NA
JP-10,群馬県,0,0,215,1588,28,NA
JP-11,埼玉県,139,0,0,3898,56,NA
JP-12,千葉県,0,NA,3954,NA,46,NA
JP-13,東京都,0,0,2196,6882,55,NA
JP-14,神奈川県,0,0,0,2758,25,※1
JP-15,新潟県,0,0,302,5650,29,※1
JP-16,富山県,0,0,73,252,10,NA
JP-17,石川県,0,0,108,363,11,NA
JP-18,福井県,0,0,69,256,15,NA
JP-19,山梨県,0,0,161,665,21,NA
JP-20,長野県,0,0,140,1150,46,NA
JP-21,岐阜県,0,0,133,206,28,NA
JP-22,静岡県,0,0,332,872,32,NA
JP-23,愛知県,0,0,211,1020,46,NA
JP-24,三重県,0,0,97,403,17,NA
JP-25,滋賀県,0,0,227,124,15,NA
JP-26,京都府,0,0,270,744,16,NA
JP-27,大阪府,0,0,297,879,31,NA
JP-28,兵庫県,0,0,314,723,28,NA
JP-29,奈良県,0,0,90,97,18,NA
JP-30,和歌山県,0,0,39,81,13,NA
JP-31,鳥取県,0,0,53,150,13,NA
JP-32,島根県,0,0,24,109,13,NA
JP-33,岡山県,0,0,274,631,19,NA
JP-34,広島県,0,0,216,362,16,NA
JP-35,山口県,0,0,52,111,13,NA
JP-36,徳島県,0,0,37,51,12,NA
JP-37,香川県,0,0,13,87,8,NA
JP-38,愛媛県,0,0,146,56,12,NA
JP-39,高知県,0,0,71,69,15,NA
JP-40,福岡県,0,0,157,590,37,NA
JP-41,佐賀県,0,0,41,230,10,NA
JP-42,長崎県,0,0,53,99,12,NA
JP-43,熊本県,0,0,104,281,23,NA
JP-44,大分県,0,0,66,276,16,NA
JP-45,宮崎県,0,0,85,177,10,NA
JP-46,鹿児島県,0,0,96,174,27,NA
JP-47,沖縄県,0,0,81,981,29,NA
