ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,533,2306,90,NA
JP-02,青森県,0,0,485,434,24,NA
JP-03,岩手県,0,0,327,38453,28,※1
JP-04,宮城県,0,0,1062,100266,35,※1
JP-05,秋田県,0,0,471,708,20,NA
JP-06,山形県,0,0,553,8530,34,NA
JP-07,福島県,0,0,NA,93915,47,※1
JP-08,茨城県,0,0,584,4741,42,NA
JP-09,栃木県,0,0,546,2527,25,NA
JP-10,群馬県,0,0,216,1447,28,NA
JP-11,埼玉県,118,0,0,3379,56,NA
JP-12,千葉県,0,NA,4020,NA,45,NA
JP-13,東京都,0,0,2225,6650,56,NA
JP-14,神奈川県,0,0,0,2576,24,※1
JP-15,新潟県,0,0,237,4986,28,※1
JP-16,富山県,0,0,66,230,10,NA
JP-17,石川県,0,0,65,380,11,NA
JP-18,福井県,0,0,52,226,14,NA
JP-19,山梨県,0,0,155,645,21,NA
JP-20,長野県,0,0,137,1096,44,NA
JP-21,岐阜県,0,0,125,194,27,NA
JP-22,静岡県,0,0,289,803,33,NA
JP-23,愛知県,0,0,196,1040,46,NA
JP-24,三重県,0,0,93,403,17,NA
JP-25,滋賀県,0,0,219,118,15,NA
JP-26,京都府,0,0,284,696,16,NA
JP-27,大阪府,0,0,297,835,31,NA
JP-28,兵庫県,0,0,284,708,27,NA
JP-29,奈良県,0,0,90,83,18,NA
JP-30,和歌山県,0,0,37,66,11,NA
JP-31,鳥取県,0,0,43,147,12,NA
JP-32,島根県,0,0,24,107,13,NA
JP-33,岡山県,0,0,302,690,19,NA
JP-34,広島県,0,0,208,342,15,NA
JP-35,山口県,0,0,48,110,14,NA
JP-36,徳島県,0,0,33,42,11,NA
JP-37,香川県,0,0,12,85,7,NA
JP-38,愛媛県,0,0,142,49,11,NA
JP-39,高知県,0,0,66,64,15,NA
JP-40,福岡県,0,0,143,583,38,NA
JP-41,佐賀県,0,0,25,217,9,NA
JP-42,長崎県,0,0,44,94,10,NA
JP-43,熊本県,0,0,107,290,20,NA
JP-44,大分県,0,0,49,245,15,NA
JP-45,宮崎県,0,0,86,182,10,NA
JP-46,鹿児島県,0,0,83,162,26,NA
JP-47,沖縄県,0,0,61,941,30,NA
