ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,532,2285,90,NA
JP-02,青森県,0,0,463,408,24,NA
JP-03,岩手県,0,0,332,37914,29,※1
JP-04,宮城県,0,0,1063,98491,35,※1
JP-05,秋田県,0,0,479,685,20,NA
JP-06,山形県,0,0,546,8123,33,NA
JP-07,福島県,0,0,NA,92770,47,※1
JP-08,茨城県,0,0,590,4679,42,NA
JP-09,栃木県,0,0,567,2525,25,NA
JP-10,群馬県,0,0,213,1420,27,NA
JP-11,埼玉県,107,0,0,3296,56,NA
JP-12,千葉県,0,NA,4030,NA,45,NA
JP-13,東京都,0,0,2218,6633,56,NA
JP-14,神奈川県,0,0,0,2561,24,※1
JP-15,新潟県,0,0,230,4934,28,※1
JP-16,富山県,0,0,66,230,10,NA
JP-17,石川県,0,0,65,376,11,NA
JP-18,福井県,0,0,49,229,14,NA
JP-19,山梨県,0,0,155,645,21,NA
JP-20,長野県,0,0,137,1084,44,NA
JP-21,岐阜県,0,0,121,194,27,NA
JP-22,静岡県,0,0,288,799,33,NA
JP-23,愛知県,0,0,193,1047,46,NA
JP-24,三重県,0,0,93,403,17,NA
JP-25,滋賀県,0,0,212,118,15,NA
JP-26,京都府,0,0,289,693,16,NA
JP-27,大阪府,0,0,297,827,31,NA
JP-28,兵庫県,0,0,280,694,27,NA
JP-29,奈良県,0,0,90,83,18,NA
JP-30,和歌山県,0,0,37,66,11,NA
JP-31,鳥取県,0,0,49,145,12,NA
JP-32,島根県,0,0,24,107,13,NA
JP-33,岡山県,0,0,313,703,19,NA
JP-34,広島県,0,0,201,332,15,NA
JP-35,山口県,0,0,48,109,14,NA
JP-36,徳島県,0,0,34,39,11,NA
JP-37,香川県,0,0,13,84,7,NA
JP-38,愛媛県,0,0,142,49,11,NA
JP-39,高知県,0,0,63,64,15,NA
JP-40,福岡県,0,0,143,584,38,NA
JP-41,佐賀県,0,0,25,211,9,NA
JP-42,長崎県,0,0,54,94,10,NA
JP-43,熊本県,0,0,107,294,20,NA
JP-44,大分県,0,0,46,244,15,NA
JP-45,宮崎県,0,0,90,178,11,NA
JP-46,鹿児島県,0,0,83,162,27,NA
JP-47,沖縄県,0,0,61,933,29,NA
