ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,518,2207,89,NA
JP-02,青森県,0,0,423,368,23,NA
JP-03,岩手県,0,0,347,34891,29,※1
JP-04,宮城県,0,0,1087,89915,35,※1
JP-05,秋田県,0,0,454,638,20,NA
JP-06,山形県,0,0,562,5615,32,NA
JP-07,福島県,0,0,NA,86578,47,※1
JP-08,茨城県,0,0,626,4344,42,NA
JP-09,栃木県,0,0,598,2433,25,NA
JP-10,群馬県,0,0,242,1322,26,NA
JP-11,埼玉県,0,0,0,2971,56,NA
JP-12,千葉県,0,0,3397,566,45,NA
JP-13,東京都,0,0,1960,6073,56,NA
JP-14,神奈川県,0,0,0,2390,24,※1
JP-15,新潟県,0,0,212,4602,28,NA
JP-16,富山県,0,0,63,221,10,NA
JP-17,石川県,0,0,66,337,11,NA
JP-18,福井県,0,0,47,223,14,NA
JP-19,山梨県,0,0,134,621,21,NA
JP-20,長野県,0,0,154,1023,42,NA
JP-21,岐阜県,0,0,110,204,25,NA
JP-22,静岡県,0,0,296,790,30,NA
JP-23,愛知県,0,0,176,1026,44,NA
JP-24,三重県,0,0,95,395,15,NA
JP-25,滋賀県,0,0,206,99,14,NA
JP-26,京都府,0,0,320,604,16,NA
JP-27,大阪府,0,0,185,781,30,NA
JP-28,兵庫県,0,0,261,671,26,NA
JP-29,奈良県,0,0,91,77,18,NA
JP-30,和歌山県,0,0,37,64,12,NA
JP-31,鳥取県,0,0,50,131,12,NA
JP-32,島根県,0,0,24,102,13,NA
JP-33,岡山県,0,0,316,716,19,NA
JP-34,広島県,0,0,193,278,15,NA
JP-35,山口県,0,0,44,104,12,NA
JP-36,徳島県,0,0,31,42,12,NA
JP-37,香川県,0,0,13,85,7,NA
JP-38,愛媛県,0,0,139,46,11,NA
JP-39,高知県,0,0,49,57,13,NA
JP-40,福岡県,0,0,137,566,37,NA
JP-41,佐賀県,0,0,24,189,9,NA
JP-42,長崎県,0,0,53,91,10,NA
JP-43,熊本県,0,0,107,291,20,NA
JP-44,大分県,0,0,44,210,15,NA
JP-45,宮崎県,0,0,71,184,11,NA
JP-46,鹿児島県,0,0,73,157,26,NA
JP-47,沖縄県,0,0,51,922,30,NA
